league,season,game,team,Accurate passes,Ball possession,Big chances,Big chances missed,Corners,Expected goals (xG),Fouls committed,Shots on target,Total shots,Offsides,Accurate passes (%),stat_type
FRA-Ligue 1,2324,2023-08-12 Paris Saint-Germain-Lorient,Paris Saint-Germain,939,78,1,1,9,1.24,8,4,20,,0.94,Top stats
FRA-Ligue 1,2324,2023-08-19 Toulouse-Paris Saint-Germain,Paris Saint-Germain,698,76,2,1,5,2.16,11,3,16,,0.91,Top stats
FRA-Ligue 1,2324,2023-08-26 Paris Saint-Germain-Lens,Paris Saint-Germain,675,66,3,3,5,1.54,8,7,17,,0.92,Top stats
FRA-Ligue 1,2324,2023-09-03 Lyon-Paris Saint-Germain,Paris Saint-Germain,771,69,7,3,2,4.57,5,8,22,,0.93,Top stats
FRA-Ligue 1,2324,2023-09-15 Paris Saint-Germain-Nice,Paris Saint-Germain,608,69,2,2,4,0.95,8,3,12,,0.88,Top stats
FRA-Ligue 1,2324,2023-09-24 Paris Saint-Germain-Marseille,Paris Saint-Germain,734,77,2,0,8,1.94,11,5,15,,0.91,Top stats
FRA-Ligue 1,2324,2023-09-30 Clermont Foot-Paris Saint-Germain,Paris Saint-Germain,506,67,5,5,9,3.06,16,10,21,,0.88,Top stats
FRA-Ligue 1,2324,2023-10-08 Rennes-Paris Saint-Germain,Paris Saint-Germain,567,58,4,2,7,3.51,15,7,17,,0.89,Top stats
FRA-Ligue 1,2324,2023-10-21 Paris Saint-Germain-Strasbourg,Paris Saint-Germain,784,78,4,1,1,2.07,11,4,8,,0.93,Top stats
FRA-Ligue 1,2324,2023-10-29 Brest-Paris Saint-Germain,Paris Saint-Germain,452,56,3,2,5,2.13,10,10,17,,0.87,Top stats
FRA-Ligue 1,2324,2023-11-03 Paris Saint-Germain-Montpellier,Paris Saint-Germain,695,71,0,0,9,1.16,10,10,21,,0.92,Top stats
FRA-Ligue 1,2324,2023-11-11 Reims-Paris Saint-Germain,Paris Saint-Germain,536,62,4,2,3,2.27,6,6,14,,0.89,Top stats
FRA-Ligue 1,2324,2023-11-24 Paris Saint-Germain-Monaco,Paris Saint-Germain,464,54,3,1,2,2.59,9,11,16,,0.85,Top stats
FRA-Ligue 1,2324,2023-12-03 Le Havre-Paris Saint-Germain,Paris Saint-Germain,339,39,3,3,2,1.18,9,5,9,,0.82,Top stats
FRA-Ligue 1,2324,2023-12-09 Paris Saint-Germain-Nantes,Paris Saint-Germain,667,65,3,2,5,2.02,9,6,16,,0.9,Top stats
FRA-Ligue 1,2324,2023-12-17 Lille-Paris Saint-Germain,Paris Saint-Germain,463,59,1,0,8,1.40,19,2,10,,0.89,Top stats
FRA-Ligue 1,2324,2023-12-20 Paris Saint-Germain-Metz,Paris Saint-Germain,766,75,3,1,5,2.37,6,5,13,,0.93,Top stats
FRA-Ligue 1,2324,2024-01-14 Lens-Paris Saint-Germain,Paris Saint-Germain,630,66,3,1,6,1.83,8,7,15,,0.91,Top stats
FRA-Ligue 1,2324,2024-01-28 Paris Saint-Germain-Brest,Paris Saint-Germain,435,54,3,1,7,2.08,12,4,10,,0.85,Top stats
FRA-Ligue 1,2324,2024-02-02 Strasbourg-Paris Saint-Germain,Paris Saint-Germain,508,63,3,1,4,2.02,13,5,9,,0.86,Top stats
FRA-Ligue 1,2324,2024-02-10 Paris Saint-Germain-Lille,Paris Saint-Germain,407,52,3,1,6,2.83,12,8,16,,0.86,Top stats
FRA-Ligue 1,2324,2024-02-17 Nantes-Paris Saint-Germain,Paris Saint-Germain,808,77,2,1,8,1.55,12,2,12,,0.93,Top stats
FRA-Ligue 1,2324,2024-02-25 Paris Saint-Germain-Rennes,Paris Saint-Germain,618,66,2,1,4,1.87,13,3,15,,0.89,Top stats
FRA-Ligue 1,2324,2024-03-01 Monaco-Paris Saint-Germain,Paris Saint-Germain,533,68,3,3,6,1.50,13,7,14,,0.85,Top stats
FRA-Ligue 1,2324,2024-03-10 Paris Saint-Germain-Reims,Paris Saint-Germain,518,64,1,1,7,1.26,10,6,19,,0.87,Top stats
FRA-Ligue 1,2324,2024-03-17 Montpellier-Paris Saint-Germain,Paris Saint-Germain,614,68,5,3,4,1.56,13,9,16,,0.92,Top stats
FRA-Ligue 1,2324,2024-03-31 Marseille-Paris Saint-Germain,Paris Saint-Germain,458,53,3,2,3,2.16,8,3,8,,0.86,Top stats
FRA-Ligue 1,2324,2024-04-06 Paris Saint-Germain-Clermont Foot,Paris Saint-Germain,666,73,4,3,17,2.74,11,7,23,,0.9,Top stats
FRA-Ligue 1,2324,2024-04-21 Paris Saint-Germain-Lyon,Paris Saint-Germain,692,63,6,3,4,2.44,9,6,14,,0.93,Top stats
FRA-Ligue 1,2324,2024-04-24 Lorient-Paris Saint-Germain,Paris Saint-Germain,617,60,2,0,6,1.58,7,7,15,,0.88,Top stats
FRA-Ligue 1,2324,2024-04-27 Paris Saint-Germain-Le Havre,Paris Saint-Germain,659,77,3,1,11,2.64,10,4,17,,0.89,Top stats
FRA-Ligue 1,2324,2024-05-12 Paris Saint-Germain-Toulouse,Paris Saint-Germain,577,64,4,3,4,2.18,12,3,15,,0.88,Top stats
FRA-Ligue 1,2324,2024-05-15 Nice-Paris Saint-Germain,Paris Saint-Germain,644,64,4,2,2,0.97,10,4,11,,0.9,Top stats
FRA-Ligue 1,2324,2024-05-19 Metz-Paris Saint-Germain,Paris Saint-Germain,721,76,5,4,10,2.04,9,8,20,,0.91,Top stats
FRA-Ligue 1,2425,2024-08-16 Le Havre-Paris Saint-Germain,Paris Saint-Germain,770,76,7,5,8,2.87,9,10,15,,0.93,Top stats
FRA-Ligue 1,2425,2024-08-23 Paris Saint-Germain-Montpellier,Paris Saint-Germain,694,69,10,6,10,3.82,11,11,27,,0.93,Top stats
FRA-Ligue 1,2425,2024-09-01 Lille-Paris Saint-Germain,Paris Saint-Germain,542,58,5,2,1,2.60,9,7,11,,0.89,Top stats
FRA-Ligue 1,2425,2024-09-14 Paris Saint-Germain-Brest,Paris Saint-Germain,623,67,5,3,9,2.88,7,9,22,,0.92,Top stats
FRA-Ligue 1,2425,2024-09-21 Reims-Paris Saint-Germain,Paris Saint-Germain,757,78,4,3,5,1.59,6,4,11,,0.94,Top stats
FRA-Ligue 1,2425,2024-09-27 Paris Saint-Germain-Rennes,Paris Saint-Germain,565,62,6,4,6,3.05,12,8,23,,0.89,Top stats
FRA-Ligue 1,2425,2024-10-06 Nice-Paris Saint-Germain,Paris Saint-Germain,642,71,1,1,15,1.30,9,8,19,,0.92,Top stats
FRA-Ligue 1,2425,2024-10-19 Paris Saint-Germain-Strasbourg,Paris Saint-Germain,493,56,8,4,5,3.49,10,10,18,,0.88,Top stats
FRA-Ligue 1,2425,2024-10-27 Marseille-Paris Saint-Germain,Paris Saint-Germain,862,75,7,5,2,3.10,7,8,19,,0.94,Top stats
FRA-Ligue 1,2425,2024-11-02 Paris Saint-Germain-Lens,Paris Saint-Germain,640,69,4,3,7,2.88,3,8,18,,0.89,Top stats
FRA-Ligue 1,2425,2024-11-09 Angers-Paris Saint-Germain,Paris Saint-Germain,740,70,7,3,8,3.50,16,12,26,,0.92,Top stats
FRA-Ligue 1,2425,2024-11-22 Paris Saint-Germain-Toulouse,Paris Saint-Germain,683,73,3,1,7,1.16,11,8,17,,0.89,Top stats
FRA-Ligue 1,2425,2024-11-30 Paris Saint-Germain-Nantes,Paris Saint-Germain,935,84,6,5,9,2.73,3,10,24,,0.93,Top stats
FRA-Ligue 1,2425,2024-12-06 Auxerre-Paris Saint-Germain,Paris Saint-Germain,602,73,4,4,15,2.51,7,11,24,,0.9,Top stats
FRA-Ligue 1,2425,2024-12-15 Paris Saint-Germain-Lyon,Paris Saint-Germain,672,68,4,2,4,2.88,7,6,13,,0.92,Top stats
FRA-Ligue 1,2425,2024-12-18 Monaco-Paris Saint-Germain,Paris Saint-Germain,492,60,5,1,9,1.77,11,12,17,,0.86,Top stats
FRA-Ligue 1,2425,2025-01-12 Paris Saint-Germain-Saint-Etienne,Paris Saint-Germain,534,59,8,7,7,4.07,16,9,25,,0.88,Top stats
FRA-Ligue 1,2425,2025-01-18 Lens-Paris Saint-Germain,Paris Saint-Germain,632,67,3,2,1,1.23,8,7,9,,0.91,Top stats
FRA-Ligue 1,2425,2025-01-25 Paris Saint-Germain-Reims,Paris Saint-Germain,711,78,3,3,8,1.25,13,7,18,,0.92,Top stats
FRA-Ligue 1,2425,2025-02-01 Brest-Paris Saint-Germain,Paris Saint-Germain,644,66,11,6,7,3.59,12,7,14,,0.89,Top stats
FRA-Ligue 1,2425,2025-02-07 Paris Saint-Germain-Monaco,Paris Saint-Germain,543,64,4,1,1,3.14,9,7,16,,0.88,Top stats
FRA-Ligue 1,2425,2025-02-15 Toulouse-Paris Saint-Germain,Paris Saint-Germain,750,77,5,4,2,2.44,6,6,20,,0.92,Top stats
FRA-Ligue 1,2425,2025-02-23 Lyon-Paris Saint-Germain,Paris Saint-Germain,607,65,5,3,4,2.46,8,8,15,,0.92,Top stats
FRA-Ligue 1,2425,2025-03-01 Paris Saint-Germain-Lille,Paris Saint-Germain,595,58,6,3,9,3.59,6,11,26,,0.92,Top stats
FRA-Ligue 1,2425,2025-03-08 Rennes-Paris Saint-Germain,Paris Saint-Germain,624,68,6,3,2,3.85,6,9,19,,0.91,Top stats
FRA-Ligue 1,2425,2025-03-16 Paris Saint-Germain-Marseille,Paris Saint-Germain,554,60,5,3,5,2.59,7,5,16,,0.91,Top stats
FRA-Ligue 1,2425,2025-03-29 Saint-Etienne-Paris Saint-Germain,Paris Saint-Germain,489,54,6,1,6,3.27,12,10,22,,0.88,Top stats
FRA-Ligue 1,2425,2025-04-05 Paris Saint-Germain-Angers,Paris Saint-Germain,891,81,3,2,5,1.92,7,6,20,,0.93,Top stats
FRA-Ligue 1,2425,2025-04-19 Paris Saint-Germain-Le Havre,Paris Saint-Germain,733,70,5,4,7,3.14,7,11,18,,0.93,Top stats
FRA-Ligue 1,2425,2025-04-22 Nantes-Paris Saint-Germain,Paris Saint-Germain,785,75,4,3,4,1.60,9,5,10,,0.93,Top stats
FRA-Ligue 1,2425,2025-04-25 Paris Saint-Germain-Nice,Paris Saint-Germain,717,76,9,8,17,3.16,9,13,32,,0.92,Top stats
FRA-Ligue 1,2425,2025-05-03 Strasbourg-Paris Saint-Germain,Paris Saint-Germain,544,64,3,2,2,1.73,13,4,20,,0.91,Top stats
FRA-Ligue 1,2425,2025-05-10 Montpellier-Paris Saint-Germain,Paris Saint-Germain,638,70,5,3,4,1.50,11,8,10,,0.93,Top stats
FRA-Ligue 1,2425,2025-05-17 Paris Saint-Germain-Auxerre,Paris Saint-Germain,602,67,7,5,5,3.11,10,9,21,,0.91,Top stats
