,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA-Ligue 1,2324,Paris S-G,Achraf Hakimi,MAR,DF,24,1998,25,20,1932,21.5,4,5,9,4,0,0,3,0,4.2,4.2,5.2,9.4,84,218,230,0.19,0.23,0.42,0.19,0.42,0.2,0.24,0.44,0.2,0.44
FRA-Ligue 1,2324,Paris S-G,Arnau Tenas,ESP,GK,22,2001,6,5,529,5.9,0,1,1,0,0,0,0,0,0.0,0.0,0.8,0.8,0,0,0,0.0,0.17,0.17,0.0,0.17,0.0,0.13,0.13,0.0,0.13
FRA-Ligue 1,2324,Paris S-G,Bradley Barcola,FRA,"FW,MF",20,2002,25,18,1370,15.2,4,7,11,4,0,0,3,1,4.5,4.5,5.2,9.8,93,56,217,0.26,0.46,0.72,0.26,0.72,0.3,0.34,0.64,0.3,0.64
FRA-Ligue 1,2324,Paris S-G,Carlos Soler,ESP,"MF,DF",26,1997,24,12,1090,12.1,2,2,4,2,0,0,1,0,1.5,1.5,2.4,3.9,15,74,59,0.17,0.17,0.33,0.17,0.33,0.12,0.2,0.32,0.12,0.32
FRA-Ligue 1,2324,Paris S-G,Cher Ndour,ITA,MF,19,2004,3,0,28,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Danilo Pereira,POR,DF,31,1991,26,22,1995,22.2,0,0,0,0,0,0,2,0,1.4,1.4,0.0,1.4,28,148,2,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06
FRA-Ligue 1,2324,Paris S-G,Ethan Mbappé,FRA,"MF,DF",16,2006,3,0,48,0.5,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.27,0.27,0.27
FRA-Ligue 1,2324,Paris S-G,Fabián Ruiz Peña,ESP,MF,27,1996,21,14,1197,13.3,1,3,4,1,0,0,3,0,2.0,2.0,1.2,3.1,16,78,40,0.08,0.23,0.3,0.08,0.3,0.15,0.09,0.24,0.15,0.24
FRA-Ligue 1,2324,Paris S-G,Gianluigi Donnarumma,ITA,GK,24,1999,25,25,2169,24.1,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Gonçalo Ramos,POR,FW,22,2001,29,16,1419,15.8,11,1,12,10,1,1,1,0,10.9,10.2,2.4,12.5,11,29,88,0.7,0.06,0.76,0.63,0.7,0.69,0.15,0.84,0.64,0.79
FRA-Ligue 1,2324,Paris S-G,Hugo Ekitike,FRA,FW,21,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3
FRA-Ligue 1,2324,Paris S-G,Keylor Navas,CRC,GK,36,1986,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Kylian Mbappé,FRA,FW,24,1998,29,24,2158,24.0,27,7,34,21,6,8,4,0,21.0,14.5,5.7,20.2,114,122,285,1.13,0.29,1.42,0.88,1.17,0.87,0.24,1.11,0.6,0.84
FRA-Ligue 1,2324,Paris S-G,Layvin Kurzawa,FRA,DF,30,1992,1,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2324,Paris S-G,Lee Kang-in,KOR,"FW,MF",22,2001,23,18,1464,16.3,3,4,7,3,0,0,2,0,1.5,1.5,2.3,3.7,50,103,150,0.18,0.25,0.43,0.18,0.43,0.09,0.14,0.23,0.09,0.23
FRA-Ligue 1,2324,Paris S-G,Lucas Beraldo,BRA,DF,19,2003,13,12,1008,11.2,1,0,1,1,0,0,4,1,1.0,1.0,0.2,1.2,7,44,2,0.09,0.0,0.09,0.09,0.09,0.09,0.02,0.11,0.09,0.11
FRA-Ligue 1,2324,Paris S-G,Lucas Hernández,FRA,DF,27,1996,27,23,1909,21.2,1,1,2,1,0,0,6,0,0.5,0.5,1.6,2.0,30,156,22,0.05,0.05,0.09,0.05,0.09,0.02,0.07,0.1,0.02,0.1
FRA-Ligue 1,2324,Paris S-G,Manuel Ugarte Ribeiro,URU,MF,22,2001,25,21,1932,21.5,0,2,2,0,0,0,5,0,0.6,0.6,0.9,1.5,16,87,24,0.0,0.09,0.09,0.0,0.09,0.03,0.04,0.07,0.03,0.07
FRA-Ligue 1,2324,Paris S-G,Marco Asensio,ESP,"MF,FW",27,1996,19,13,1113,12.4,4,5,9,4,0,0,0,0,3.2,3.2,5.8,9.0,36,71,92,0.32,0.4,0.73,0.32,0.73,0.26,0.47,0.73,0.26,0.73
FRA-Ligue 1,2324,Paris S-G,Marquinhos,BRA,DF,29,1994,21,18,1537,17.1,0,1,1,0,0,0,1,0,0.4,0.4,0.5,0.9,18,114,3,0.0,0.06,0.06,0.0,0.06,0.03,0.03,0.05,0.03,0.05
FRA-Ligue 1,2324,Paris S-G,Milan Škriniar,SVK,DF,28,1995,24,17,1629,18.1,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.2,5,61,1,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
FRA-Ligue 1,2324,Paris S-G,Nordi Mukiele,FRA,DF,25,1997,16,9,796,8.8,0,0,0,0,0,0,2,0,1.3,1.3,0.1,1.4,12,32,26,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.16,0.15,0.16
FRA-Ligue 1,2324,Paris S-G,Nuno Mendes,POR,DF,21,2002,6,2,267,3.0,1,1,2,1,0,0,3,0,0.3,0.3,0.4,0.7,12,21,25,0.34,0.34,0.67,0.34,0.67,0.11,0.14,0.25,0.11,0.25
FRA-Ligue 1,2324,Paris S-G,Ousmane Dembélé,FRA,"MF,FW",26,1997,26,17,1506,16.7,3,8,11,3,0,0,0,0,4.4,4.4,6.7,11.1,160,133,247,0.18,0.48,0.66,0.18,0.66,0.26,0.4,0.67,0.26,0.67
FRA-Ligue 1,2324,Paris S-G,Randal Kolo Muani,FRA,"FW,MF",24,1998,26,13,1268,14.1,6,5,11,6,0,0,1,0,6.1,6.1,3.3,9.4,36,42,125,0.43,0.35,0.78,0.43,0.78,0.43,0.23,0.66,0.43,0.66
FRA-Ligue 1,2324,Paris S-G,Senny Mayulu,FRA,"FW,MF",17,2006,8,3,324,3.6,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,4,11,38,0.0,0.28,0.28,0.0,0.28,0.04,0.13,0.17,0.04,0.17
FRA-Ligue 1,2324,Paris S-G,Vitinha,POR,MF,23,2000,28,23,2126,23.6,7,4,11,7,0,0,0,0,3.1,3.1,3.1,6.3,41,182,122,0.3,0.17,0.47,0.3,0.47,0.13,0.13,0.27,0.13,0.27
FRA-Ligue 1,2324,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",17,2006,26,21,1962,21.8,2,3,5,2,0,0,4,0,1.4,1.4,3.2,4.5,54,116,90,0.09,0.14,0.23,0.09,0.23,0.06,0.14,0.21,0.06,0.21
FRA-Ligue 1,2324,Paris S-G,Yoram Zague,FRA,DF,17,2006,5,4,373,4.1,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,2,13,4,0.24,0.0,0.24,0.24,0.24,0.07,0.11,0.18,0.07,0.18
FRA-Ligue 1,2425,Paris S-G,Achraf Hakimi,MAR,DF,25,1998,25,24,2066,23.0,4,6,10,4,0,0,4,0,2.9,2.9,6.2,9.1,93,183,274,0.17,0.26,0.44,0.17,0.44,0.13,0.27,0.4,0.13,0.4
FRA-Ligue 1,2425,Paris S-G,Arnau Tenas,ESP,GK,23,2001,1,1,90,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,0,1,0,0.0,1.0,1.0,0.0,1.0,0.0,0.21,0.21,0.0,0.21
FRA-Ligue 1,2425,Paris S-G,Axel Tapé,FRA,"DF,MF",16,2007,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,5,1,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03
FRA-Ligue 1,2425,Paris S-G,Bradley Barcola,FRA,FW,21,2002,34,27,2181,24.2,14,10,24,14,0,0,2,0,13.4,13.4,10.1,23.5,137,96,374,0.58,0.41,0.99,0.58,0.99,0.55,0.42,0.97,0.55,0.97
FRA-Ligue 1,2425,Paris S-G,Désiré Doué,FRA,"FW,MF",19,2005,31,18,1730,19.2,6,6,12,6,0,0,1,0,5.1,5.1,7.8,13.0,97,139,232,0.31,0.31,0.62,0.31,0.62,0.27,0.41,0.67,0.27,0.67
FRA-Ligue 1,2425,Paris S-G,Fabián Ruiz Peña,ESP,MF,28,1996,30,21,1923,21.4,4,5,9,4,0,0,1,0,4.3,4.3,4.7,9.0,47,205,92,0.19,0.23,0.42,0.19,0.42,0.2,0.22,0.42,0.2,0.42
FRA-Ligue 1,2425,Paris S-G,Gianluigi Donnarumma,ITA,GK,25,1999,24,24,2091,23.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Paris S-G,Gonçalo Ramos,POR,FW,23,2001,22,12,1066,11.8,10,3,13,8,2,3,1,0,13.6,11.3,2.2,13.4,11,24,63,0.84,0.25,1.1,0.68,0.93,1.15,0.18,1.33,0.95,1.13
FRA-Ligue 1,2425,Paris S-G,Ibrahim Mbaye,FRA,"FW,MF",16,2008,9,4,340,3.8,1,1,2,1,0,0,0,0,1.8,1.8,1.1,2.9,15,9,54,0.26,0.26,0.53,0.26,0.53,0.48,0.3,0.78,0.48,0.78
FRA-Ligue 1,2425,Paris S-G,João Neves,POR,"MF,DF",19,2004,29,22,1844,20.5,3,8,11,3,0,0,1,0,3.0,3.0,4.0,7.0,35,144,80,0.15,0.39,0.54,0.15,0.54,0.15,0.2,0.34,0.15,0.34
FRA-Ligue 1,2425,Paris S-G,Khvicha Kvaratskhelia,GEO,FW,23,2001,14,11,916,10.2,4,3,7,4,0,0,0,0,3.3,3.3,4.9,8.2,50,43,131,0.39,0.29,0.69,0.39,0.69,0.32,0.48,0.8,0.32,0.8
FRA-Ligue 1,2425,Paris S-G,Lee Kang-in,KOR,"FW,MF",23,2001,30,19,1663,18.5,6,6,12,6,0,0,1,0,3.5,3.5,5.6,9.1,50,143,138,0.32,0.32,0.65,0.32,0.65,0.19,0.3,0.5,0.19,0.5
FRA-Ligue 1,2425,Paris S-G,Lucas Beraldo,BRA,DF,20,2003,25,22,2011,22.3,1,0,1,1,0,0,6,0,0.9,0.9,0.4,1.2,9,131,0,0.04,0.0,0.04,0.04,0.04,0.04,0.02,0.06,0.04,0.06
FRA-Ligue 1,2425,Paris S-G,Lucas Hernández,FRA,DF,28,1996,16,10,877,9.7,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,6,50,4,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
FRA-Ligue 1,2425,Paris S-G,Marco Asensio,ESP,"FW,MF",28,1996,12,8,618,6.9,2,4,6,2,0,0,0,0,5.6,5.6,2.7,8.3,19,36,49,0.29,0.58,0.87,0.29,0.87,0.82,0.39,1.21,0.82,1.21
FRA-Ligue 1,2425,Paris S-G,Marquinhos,BRA,DF,30,1994,22,19,1725,19.2,2,0,2,2,0,0,3,0,1.1,1.1,0.8,1.9,29,151,4,0.1,0.0,0.1,0.1,0.1,0.06,0.04,0.1,0.06,0.1
FRA-Ligue 1,2425,Paris S-G,Matvei Safonov,RUS,GK,25,1999,10,9,879,9.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Paris S-G,Milan Škriniar,SVK,DF,29,1995,5,4,382,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,20,0,0.0,0.0,0.0,0.0,0.0,0.04,0.02,0.06,0.04,0.06
FRA-Ligue 1,2425,Paris S-G,Noham Kamara,FRA,DF,17,2007,2,0,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Paris S-G,Nuno Mendes,POR,DF,22,2002,24,19,1676,18.6,1,3,4,1,0,0,3,0,2.2,2.2,5.0,7.2,58,127,108,0.05,0.16,0.21,0.05,0.21,0.12,0.27,0.39,0.12,0.39
FRA-Ligue 1,2425,Paris S-G,Ousmane Dembélé,FRA,FW,27,1997,29,20,1730,19.2,21,6,27,20,1,1,1,0,16.6,15.8,8.2,24.0,127,137,252,1.09,0.31,1.4,1.04,1.35,0.86,0.43,1.29,0.82,1.25
FRA-Ligue 1,2425,Paris S-G,Presnel Kimpembe,FRA,DF,28,1995,2,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRA-Ligue 1,2425,Paris S-G,Randal Kolo Muani,FRA,FW,25,1998,10,2,358,4.0,2,1,3,1,1,1,0,0,4.7,3.9,0.9,4.7,8,5,35,0.5,0.25,0.75,0.25,0.5,1.17,0.21,1.39,0.98,1.19
FRA-Ligue 1,2425,Paris S-G,Senny Mayulu,FRA,MF,18,2006,20,8,808,9.0,2,2,4,2,0,0,1,0,2.9,2.9,2.1,4.9,29,46,56,0.22,0.22,0.45,0.22,0.45,0.32,0.23,0.55,0.32,0.55
FRA-Ligue 1,2425,Paris S-G,Vitinha,POR,MF,24,2000,29,20,2042,22.7,5,1,6,3,2,2,1,0,3.4,1.8,2.6,4.4,53,224,57,0.22,0.04,0.26,0.13,0.18,0.15,0.11,0.27,0.08,0.2
FRA-Ligue 1,2425,Paris S-G,Warren Zaïre-Emery,FRA,"MF,DF",18,2006,29,23,2050,22.8,1,2,3,1,0,0,3,0,1.7,1.7,1.4,3.1,49,135,92,0.04,0.09,0.13,0.04,0.13,0.07,0.06,0.14,0.07,0.14
FRA-Ligue 1,2425,Paris S-G,Willian Pacho,ECU,DF,22,2001,28,23,2132,23.7,0,1,1,0,0,0,2,0,0.3,0.3,0.3,0.6,3,53,1,0.0,0.04,0.04,0.0,0.04,0.01,0.01,0.02,0.01,0.02
FRA-Ligue 1,2425,Paris S-G,Yoram Zague,FRA,"DF,FW",18,2006,4,2,183,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,5,10,17,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05
