player_name,league,season,team,nationality,position,age,birth_year,matches_played,matches_started,minutes_played,full_matches_equivalent,goals,assists,goals_plus_assists,non_penalty_goals,penalty_goals,penalty_attempts,yellow_cards,red_cards,G+A-PK,shots,shots_on_target,shots_on_target_pct,shots_per_90,SoT/90,goals_per_shot,goals_per_shot_on_target,avg_shot_distance,passes_completed,passes_attempted,pass_completion_pct,total_pass_distance,progressive_pass_distance,A-xAG,key_passes,passes_final_third,passes_penalty_area,CrsPA,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,interceptions,Tkl+Int,clearances,errors,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Rec,minutes_per_match,Min%,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,2CrdY,Fls,Fld,Off,Crs,tackles_won,PKwon,PKcon,OG,understat_xg_chain,understat_xg_buildup,understat_npxg_plus_xa,understat_key_passes,bdo_year,bdo_player,comp_type,season_used,player,nation,pos,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,expected_goals,non_penalty_expected_goals,expected_assists,non_penalty_xG_plus_xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,xG+xAG,FK,npxG/Sh,G-xG,np:G-xG,expected_assists_alt,progressive_passes,Carries_PrgC,Receiving_Rec,Receiving_PrgR,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,goals_against,GA90,SoTA,Saves,Save%,wins,draws,losses,CS,CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,PSxG,PSxG/SoT,PSxG+/-,/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Club
Cristiano Ronaldo,ESP-La Liga,1415,Real Madrid,POR,"FW,MF",29,1985.0,35.0,35.0,3100.0,34.4,48.0,16.0,64.0,38.0,10.0,12.0,5.0,1.0,1.57,,106,,,3.08,,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,90.6,35.0,,31.0,0.0,,0.0,2.46,107.0,32.0,75.0,2.18,0.77,,27,,,,,,,,43.60805014614016,7.520235439762473,43.99031050223857,76.0,2014,Cristiano Ronaldo,domestic,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,INT-Champions League,1415,Real Madrid,POR,"FW,MF",29,1985.0,12.0,12.0,1065.0,11.8,10.0,4.0,14.0,7.0,3.0,4.0,1.0,0.0,0.93,,30,,,2.54,,0.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,98.6,12.0,,11.0,0.0,,0.0,2.17,24.0,9.0,15.0,1.27,1.27,,10,,,,,,,,,,,,2014,Cristiano Ronaldo,domestic,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,ESP-Copa del Rey,1415,Real Madrid,POR,"FW,MF",29,1985.0,2.0,1.0,118.0,1.3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,32.8,1.0,91,1.0,1.0,27,0.0,0.5,2.0,3.0,-1.0,-0.76,-3.37,0,,,,,,,,0,,,,,2014,Cristiano Ronaldo,domestic,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ESP-La Liga,1415,Barcelona,ARG,"FW,MF",27,1987.0,38.0,37.0,3375.0,37.5,43.0,18.0,61.0,38.0,5.0,6.0,4.0,0.0,1.49,,104,,,2.77,,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.0,98.7,37.0,,37.0,1.0,,0.0,2.47,110.0,20.0,90.0,2.4,4.4,,24,,,,,,,,54.75358371436596,19.756728649139404,49.044050646945834,95.0,2015,Lionel Messi,domestic,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,INT-Champions League,1415,Barcelona,ARG,"FW,MF",27,1987.0,13.0,13.0,1147.0,12.7,10.0,6.0,16.0,10.0,0.0,1.0,1.0,0.0,1.26,,25,,,1.96,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.0,98.0,13.0,,12.0,0.0,,0.0,2.54,30.0,10.0,20.0,1.57,1.57,,10,,,,,,,,,,,,2015,Lionel Messi,domestic,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lionel Messi,ESP-Copa del Rey,1415,Barcelona,ARG,"FW,MF",27,1987.0,6.0,6.0,540.0,6.0,5.0,3.0,8.0,4.0,1.0,2.0,1.0,0.0,1.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,66.7,6.0,90,6.0,0.0,,0.0,3.0,18.0,5.0,13.0,2.17,-2.83,0,,,,,,,,0,,,,,2015,Lionel Messi,domestic,14-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,ESP-La Liga,1516,Real Madrid,POR,"FW,MF",30,1985.0,36.0,36.0,3183.0,35.4,35.0,9.0,44.0,29.0,6.0,9.0,2.0,0.0,1.07,227,98,43.2,6.42,2.77,0.13,0.3,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,88.0,93.1,36.0,88,34.0,0.0,,0.0,2.33,106.0,31.0,75.0,2.12,1.74,0,22,38,50,48,11,2,0,0,40.81803520023823,9.863002741709352,37.50590703636408,51.0,2016,Cristiano Ronaldo,domestic,15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,INT-Champions League,1516,Real Madrid,POR,"FW,MF",30,1985.0,12.0,12.0,1109.0,12.3,16.0,4.0,20.0,14.0,2.0,0.0,1.0,0.0,1.46,,40,,,3.25,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,92.4,12.0,,11.0,0.0,,0.0,2.58,28.0,6.0,22.0,1.79,1.79,,12,,,,,,,,,,,,2016,Cristiano Ronaldo,domestic,15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,ESP-Copa del Rey,1516,Betis,ITA,DF,22,1992.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,50.0,2.0,90,2.0,0.0,,0.0,0.0,0.0,6.0,-6.0,-3.0,-4.0,0,,,,,,,,0,,,,,2016,Cristiano Ronaldo,domestic,15-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INT-European Championship,2016,Portugal,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,Cristiano Ronaldo,international,2016,Cristiano Ronaldo,Portugal,"FW,MF",1985.0,7.0,7.0,624.0,6.9,3.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,0.43,0.43,0.87,0.43,0.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,ESP-La Liga,1617,Real Madrid,POR,"FW,MF",31,1985.0,29.0,29.0,2539.0,28.2,25.0,6.0,31.0,19.0,6.0,8.0,4.0,0.0,0.89,162,61,37.7,5.74,2.16,0.12,0.31,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,88.0,74.2,29.0,88,24.0,0.0,,0.0,2.28,74.0,29.0,45.0,1.6,-0.45,0,20,44,34,37,3,2,0,0,29.57457485795021,8.661090549081564,24.058665994554758,31.0,2017,Cristiano Ronaldo,domestic,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,INT-Champions League,1617,Real Madrid,POR,"FW,MF",31,1985.0,13.0,13.0,1200.0,13.3,12.0,6.0,18.0,12.0,0.0,0.0,1.0,0.0,1.35,68,26,38.2,5.1,1.95,0.18,0.46,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,92.0,100.0,13.0,,13.0,0.0,,0.0,2.31,36.0,18.0,18.0,1.35,,0,7,26,12,18,3,0,0,0,,,,,2017,Cristiano Ronaldo,domestic,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Ronaldo,ESP-Copa del Rey,1617,Real Madrid,POR,"FW,MF",31,1985.0,2.0,2.0,180.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,33.3,2.0,90,2.0,0.0,,0.0,0.5,3.0,4.0,-1.0,-0.5,-4.0,0,,,,,,,,0,,,,,2017,Cristiano Ronaldo,domestic,16-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,ESP-La Liga,1718,Real Madrid,CRO,MF,31,1985.0,26.0,23.0,1970.0,21.9,1.0,6.0,7.0,1.0,0.0,0.0,3.0,0.0,0.32,35,8,22.9,1.6,0.37,0.03,0.13,20.9,1394,1572,88.7,24341,7975,1.8,39,196,42,1,1530,36,29,11,33,18,1,6,0,4,0,1394,6,21,107,4.89,86,1,13,2,3,2,14,0.64,10,1,0,2,0,1,33,22,14,15,4,15,41,36.6,26,13,4,9,31,64,7,0,1731,26,242,1067,443,43,1731,63,48,76.2,15,23.8,1322,7343,3626,64,15,26,20,,76.0,57.6,23.0,83,14.0,3.0,23,5.0,1.85,53.0,19.0,34.0,1.55,0.56,0,20,31,0,18,22,1,0,0,19.871693924069405,15.434871062636375,6.757510922849178,39.0,2018,Luka Modrić,domestic,17-18,,,,,,,,,,,,,,,,,,,,,,1.8,1.8,4.2,6.0,82.0,254.0,78.0,0.27,0.0,0.05,-0.8,-0.8,4.0,254.0,82.0,1431.0,78.0,47.0,22.9,24.1,1.1,-0.02,149.0,7.0,12.0,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,INT-Champions League,1718,Real Madrid,CRO,MF,31,1985.0,11.0,11.0,958.0,10.6,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.19,9,2,22.2,0.85,0.19,0.11,0.5,21.7,626,715,87.6,11078,3348,-0.4,9,80,13,1,699,8,3,7,11,13,2,3,0,3,0,626,8,13,35,3.3,31,1,1,1,1,0,3,0.28,3,0,0,0,0,0,15,8,5,8,2,5,18,27.8,13,9,2,7,14,29,4,0,800,13,120,498,191,17,800,24,16,66.7,8,33.3,621,3264,1478,26,5,13,17,,87.0,81.9,11.0,,7.0,0.0,,2.0,2.09,27.0,13.0,14.0,1.32,0.04,0,11,14,1,13,8,0,0,0,,,,,2018,Luka Modrić,domestic,17-18,,,,,,,,,,,,,,,,,,,,,,0.7,0.7,1.4,2.1,22.0,98.0,34.0,0.2,0.0,0.08,0.3,0.3,1.3,98.0,22.0,662.0,34.0,26.0,16.5,9.6,0.9,-0.55,66.0,2.0,4.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luka Modrić,ESP-Copa del Rey,1718,Real Madrid,CRO,MF,31,1985.0,2.0,0.0,46.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,8.5,0.0,,0.0,2.0,22,0.0,1.5,1.0,0.0,1.0,1.96,1.23,0,,,,,,,,0,,,,,2018,Luka Modrić,domestic,17-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,INT-World Cup,2018,Croatia,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,Luka Modrić,international,2018,Luka Modrić,Croatia,MF,1985.0,7.0,7.0,691.0,7.7,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,0.26,0.13,0.39,0.13,0.26,,,,,29.0,79.0,22.0,,,,,,,,,,,,,,,,,,,,1.9,0.3,1.0,1.4,0.27,0.15,0.42,0.05,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
