minute,second,player,team,event_type,x,y,is_successful,field_zone,defensive_third,middle_third,attacking_third
0,7.0,Maroan Sannadi,Athletic Club,Aerial,67.6,18.0,True,Attacking_Left,False,False,True
0,7.0,Pau Cubarsí,Barcelona,Aerial,32.4,82.0,False,Defensive_Right,True,False,False
1,26.0,Pedri,Barcelona,Tackle,55.3,83.4,True,Middle_Right,False,True,False
2,54.0,Óscar De Marcos,Athletic Club,Clearance,33.0,27.8,True,Defensive_Left,True,False,False
3,14.0,Yuri Berchiche,Athletic Club,Interception,28.8,96.5,True,Defensive_Right,True,False,False
3,22.0,Íñigo Ruíz de Galarreta,Athletic Club,Interception,23.8,75.2,True,Defensive_Right,True,False,False
3,26.0,Gavi,Barcelona,BlockedPass,60.0,9.5,True,Middle_Left,False,True,False
3,38.0,Yuri Berchiche,Athletic Club,Clearance,27.1,93.2,True,Defensive_Right,True,False,False
4,59.0,Mikel Jauregizar,Athletic Club,Interception,59.4,69.9,True,Middle_Right,False,True,False
6,15.0,Eric García,Barcelona,Tackle,49.8,3.6,True,Middle_Left,False,True,False
7,42.0,Pau Cubarsí,Barcelona,Tackle,42.2,70.0,False,Middle_Right,False,True,False
9,24.0,Ronald Araújo,Barcelona,Clearance,44.3,10.7,True,Middle_Left,False,True,False
9,52.0,Gavi,Barcelona,Tackle,24.0,61.8,False,Defensive_Center,True,False,False
9,52.0,Gavi,Barcelona,Tackle,24.4,61.6,True,Defensive_Center,True,False,False
11,20.0,Unai Núñez,Athletic Club,Tackle,16.6,41.3,True,Defensive_Center,True,False,False
12,9.0,Fermín López,Barcelona,Tackle,64.2,5.6,True,Middle_Left,False,True,False
15,47.0,Óscar De Marcos,Athletic Club,Clearance,21.9,7.1,True,Defensive_Left,True,False,False
16,10.0,Yuri Berchiche,Athletic Club,Clearance,0.6,76.8,True,Defensive_Right,True,False,False
17,0.0,Unai Gómez,Athletic Club,Clearance,4.4,58.2,True,Defensive_Center,True,False,False
18,9.0,Maroan Sannadi,Athletic Club,Interception,87.3,17.3,True,Attacking_Left,False,False,True
18,31.0,Raphinha,Barcelona,Interception,37.2,87.0,True,Middle_Right,False,True,False
22,37.0,Pau Cubarsí,Barcelona,Clearance,14.4,55.2,True,Defensive_Center,True,False,False
23,17.0,Ronald Araújo,Barcelona,Clearance,11.5,60.8,True,Defensive_Center,True,False,False
25,40.0,Óscar De Marcos,Athletic Club,Clearance,4.8,26.0,True,Defensive_Left,True,False,False
26,16.0,Aitor Paredes,Athletic Club,Clearance,1.9,58.5,True,Defensive_Center,True,False,False
26,44.0,Íñigo Ruíz de Galarreta,Athletic Club,Clearance,15.5,49.5,True,Defensive_Center,True,False,False
27,34.0,Eric García,Barcelona,Tackle,8.0,2.2,True,Defensive_Left,True,False,False
28,10.0,Pau Cubarsí,Barcelona,Clearance,6.0,62.9,True,Defensive_Center,True,False,False
28,58.0,Unai Gómez,Athletic Club,Aerial,47.2,67.6,True,Middle_Right,False,True,False
28,58.0,Ronald Araújo,Barcelona,Aerial,52.8,32.4,False,Middle_Left,False,True,False
29,55.0,Íñigo Ruíz de Galarreta,Athletic Club,Aerial,30.5,37.4,True,Defensive_Center,True,False,False
29,55.0,Gavi,Barcelona,Aerial,69.5,62.6,False,Attacking_Center,False,False,True
30,50.0,Mikel Jauregizar,Athletic Club,Interception,42.0,61.4,True,Middle_Center,False,True,False
30,58.0,Eric García,Barcelona,Tackle,25.2,11.4,False,Defensive_Left,True,False,False
31,10.0,Ronald Araújo,Barcelona,Clearance,5.6,56.1,True,Defensive_Center,True,False,False
31,26.0,Gavi,Barcelona,Tackle,32.2,7.4,True,Defensive_Left,True,False,False
31,54.0,Gavi,Barcelona,Tackle,23.4,5.1,True,Defensive_Left,True,False,False
33,15.0,Maroan Sannadi,Athletic Club,Clearance,7.5,48.8,True,Defensive_Center,True,False,False
34,1.0,Aitor Paredes,Athletic Club,Clearance,25.8,49.7,True,Defensive_Center,True,False,False
34,7.0,Yuri Berchiche,Athletic Club,Clearance,7.1,63.0,True,Defensive_Center,True,False,False
34,47.0,Unai Simón,Athletic Club,Aerial,2.1,47.4,True,Defensive_Center,True,False,False
34,47.0,Ronald Araújo,Barcelona,Aerial,97.9,52.6,False,Attacking_Center,False,False,True
36,55.0,Nico Williams,Athletic Club,Tackle,77.9,93.8,True,Attacking_Right,False,False,True
37,55.0,Alex Berenguer,Athletic Club,Tackle,6.4,23.4,True,Defensive_Left,True,False,False
38,18.0,Eric García,Barcelona,Tackle,29.8,20.2,False,Defensive_Left,True,False,False
39,15.0,Unai Núñez,Athletic Club,Clearance,12.7,50.1,True,Defensive_Center,True,False,False
41,7.0,Aitor Paredes,Athletic Club,Clearance,6.9,50.9,True,Defensive_Center,True,False,False
45,57.0,Ronald Araújo,Barcelona,Aerial,35.9,33.4,True,Middle_Center,False,True,False
45,57.0,Unai Gómez,Athletic Club,Aerial,64.1,66.6,False,Middle_Center,False,True,False
45,57.0,Ronald Araújo,Barcelona,Clearance,32.7,31.9,True,Defensive_Left,True,False,False
46,35.0,Aitor Paredes,Athletic Club,Tackle,25.2,76.4,True,Defensive_Right,True,False,False
49,13.0,Mikel Jauregizar,Athletic Club,Tackle,47.2,85.7,False,Middle_Right,False,True,False
50,22.0,Aitor Paredes,Athletic Club,BlockedPass,24.0,49.6,True,Defensive_Center,True,False,False
50,54.0,Unai Núñez,Athletic Club,Clearance,8.2,49.9,True,Defensive_Center,True,False,False
50,56.0,Aitor Paredes,Athletic Club,Clearance,12.7,61.1,True,Defensive_Center,True,False,False
52,15.0,Unai Núñez,Athletic Club,Clearance,8.3,59.1,True,Defensive_Center,True,False,False
53,30.0,Lamine Yamal,Barcelona,Interception,74.6,27.2,True,Attacking_Left,False,False,True
54,45.0,Nico Williams,Athletic Club,BlockedPass,54.2,98.0,True,Middle_Right,False,True,False
55,41.0,Raphinha,Barcelona,Clearance,7.3,59.5,True,Defensive_Center,True,False,False
56,27.0,Yuri Berchiche,Athletic Club,BlockedPass,56.3,97.5,True,Middle_Right,False,True,False
57,3.0,Yuri Berchiche,Athletic Club,BlockedPass,44.9,97.5,True,Middle_Right,False,True,False
57,32.0,Alex Berenguer,Athletic Club,BlockedPass,69.0,3.2,True,Attacking_Left,False,False,True
58,5.0,Íñigo Ruíz de Galarreta,Athletic Club,Tackle,87.6,92.6,True,Attacking_Right,False,False,True
58,29.0,Alex Berenguer,Athletic Club,BlockedPass,70.1,81.0,True,Attacking_Right,False,False,True
58,41.0,Pau Cubarsí,Barcelona,Interception,16.0,69.6,True,Defensive_Right,True,False,False
60,8.0,Pedri,Barcelona,Tackle,42.6,39.0,True,Middle_Center,False,True,False
60,51.0,Gavi,Barcelona,Tackle,20.5,63.4,False,Defensive_Center,True,False,False
65,45.0,Andreas Christensen,Barcelona,BlockedPass,2.8,34.1,True,Defensive_Center,True,False,False
65,49.0,Beñat Prados,Athletic Club,Aerial,92.5,51.7,True,Attacking_Center,False,False,True
65,49.0,Pau Cubarsí,Barcelona,Aerial,7.5,48.3,False,Defensive_Center,True,False,False
66,54.0,Beñat Prados,Athletic Club,Tackle,44.4,71.6,False,Middle_Right,False,True,False
68,16.0,Eric García,Barcelona,Clearance,30.6,29.2,True,Defensive_Left,True,False,False
68,54.0,Alex Berenguer,Athletic Club,Tackle,71.6,40.7,True,Attacking_Center,False,False,True
68,58.0,Andreas Christensen,Barcelona,Clearance,5.9,46.4,True,Defensive_Center,True,False,False
71,16.0,Aitor Paredes,Athletic Club,Aerial,90.2,44.6,True,Attacking_Center,False,False,True
71,16.0,Gavi,Barcelona,Aerial,9.8,55.4,False,Defensive_Center,True,False,False
71,18.0,Pau Cubarsí,Barcelona,Clearance,9.7,45.1,True,Defensive_Center,True,False,False
71,26.0,Óscar De Marcos,Athletic Club,Interception,30.7,57.3,True,Defensive_Center,True,False,False
71,28.0,Unai Simón,Athletic Club,Clearance,21.8,55.4,True,Defensive_Center,True,False,False
72,41.0,Aitor Paredes,Athletic Club,Clearance,5.8,49.3,True,Defensive_Center,True,False,False
73,20.0,Robert Lewandowski,Barcelona,Aerial,87.7,39.2,True,Attacking_Center,False,False,True
73,20.0,Aitor Paredes,Athletic Club,Aerial,12.3,60.8,False,Defensive_Center,True,False,False
75,56.0,Nico Williams,Athletic Club,Interception,42.6,64.8,True,Middle_Center,False,True,False
75,58.0,Gavi,Barcelona,Tackle,45.7,51.8,False,Middle_Center,False,True,False
76,1.0,Beñat Prados,Athletic Club,Tackle,54.7,45.0,True,Middle_Center,False,True,False
76,3.0,Gavi,Barcelona,Tackle,44.0,48.6,False,Middle_Center,False,True,False
76,11.0,Eric García,Barcelona,Tackle,18.4,32.7,False,Defensive_Left,True,False,False
77,11.0,Oihan Sancet,Athletic Club,BlockedPass,81.5,91.8,True,Attacking_Right,False,False,True
77,41.0,Beñat Prados,Athletic Club,Tackle,57.8,28.2,True,Middle_Left,False,True,False
78,16.0,Mikel Jauregizar,Athletic Club,Tackle,25.2,87.0,True,Defensive_Right,True,False,False
80,52.0,Yuri Berchiche,Athletic Club,Interception,40.4,96.2,True,Middle_Right,False,True,False
82,36.0,Maroan Sannadi,Athletic Club,Aerial,88.9,44.4,True,Attacking_Center,False,False,True
82,36.0,Gerard Martín,Barcelona,Aerial,11.1,55.6,False,Defensive_Center,True,False,False
83,23.0,Eric García,Barcelona,Clearance,8.5,26.3,True,Defensive_Left,True,False,False
84,3.0,Dani Olmo,Barcelona,Clearance,11.4,35.8,True,Defensive_Center,True,False,False
85,49.0,Pau Cubarsí,Barcelona,Aerial,30.1,65.4,True,Defensive_Center,True,False,False
85,49.0,Maroan Sannadi,Athletic Club,Aerial,69.9,34.6,False,Attacking_Center,False,False,True
85,49.0,Pau Cubarsí,Barcelona,Clearance,26.4,63.2,True,Defensive_Center,True,False,False
85,56.0,Gavi,Barcelona,Tackle,12.2,81.2,False,Defensive_Right,True,False,False
85,58.0,Gavi,Barcelona,Clearance,3.9,83.7,True,Defensive_Right,True,False,False
89,25.0,Gerard Martín,Barcelona,Interception,15.8,49.7,True,Defensive_Center,True,False,False
89,26.0,Frenkie de Jong,Barcelona,Clearance,18.5,50.6,True,Defensive_Center,True,False,False
